15:56:21: newinfo
11:01:19: Decomposing poses, time elapse: 365.078seconds
11:01:19: Calculating kernel matrix, time elapse: 0.463seconds
11:01:55: Calculating kernel matrix, time elapse: 0.442seconds
16:31:29: Decomposing poses, time elapse: 363.386seconds
16:31:29: Calculating kernel matrix, time elapse: 0.516seconds
16:33:54: Decomposing movements and ethograms, time elapse: 144.562seconds
16:34:08: Decomposing completed, time elapse: 523seconds
16:41:28: Decomposing poses, time elapse: 413.769seconds
16:41:29: Calculating kernel matrix, time elapse: 0.478seconds
16:43:59: Decomposing movements and ethograms, time elapse: 150.52seconds
16:44:13: Decomposing completed, time elapse: 578.7seconds
16:51:30: Decomposing poses, time elapse: 414.229seconds
16:51:31: Calculating kernel matrix, time elapse: 0.543seconds
16:54:27: Decomposing movements and ethograms, time elapse: 175.712seconds
16:54:42: Decomposing completed, time elapse: 606.243seconds
17:01:53: Decomposing poses, time elapse: 404.411seconds
17:01:53: Calculating kernel matrix, time elapse: 0.529seconds
17:04:46: Decomposing movements and ethograms, time elapse: 172.856seconds
17:05:03: Decomposing completed, time elapse: 595.042seconds
17:12:19: Decomposing poses, time elapse: 409.98seconds
17:12:20: Calculating kernel matrix, time elapse: 0.472seconds
17:14:58: Decomposing movements and ethograms, time elapse: 157.954seconds
17:15:12: Decomposing completed, time elapse: 582.965seconds
17:22:22: Decomposing poses, time elapse: 407.288seconds
17:22:23: Calculating kernel matrix, time elapse: 0.408seconds
17:23:13: Decomposing movements and ethograms, time elapse: 49.852seconds
17:23:28: Decomposing completed, time elapse: 472.68seconds
17:30:21: Decomposing poses, time elapse: 393.873seconds
17:30:22: Calculating kernel matrix, time elapse: 0.475seconds
17:33:00: Decomposing movements and ethograms, time elapse: 158.13seconds
17:33:15: Decomposing completed, time elapse: 567.68seconds
17:41:05: Decomposing poses, time elapse: 444.596seconds
17:41:05: Calculating kernel matrix, time elapse: 0.351seconds
17:41:50: Decomposing movements and ethograms, time elapse: 44.557seconds
17:42:04: Decomposing completed, time elapse: 503.746seconds
17:49:57: Decomposing poses, time elapse: 454.676seconds
17:49:58: Calculating kernel matrix, time elapse: 0.925seconds
17:55:09: Decomposing movements and ethograms, time elapse: 311.394seconds
17:55:28: Decomposing completed, time elapse: 785.341seconds
18:03:27: Decomposing poses, time elapse: 437.659seconds
18:03:28: Calculating kernel matrix, time elapse: 0.707seconds
18:06:52: Decomposing movements and ethograms, time elapse: 204.149seconds
18:07:10: Decomposing completed, time elapse: 660.604seconds
18:15:01: Decomposing poses, time elapse: 437.759seconds
18:15:02: Calculating kernel matrix, time elapse: 0.541seconds
18:17:55: Decomposing movements and ethograms, time elapse: 172.788seconds
18:18:11: Decomposing completed, time elapse: 627.109seconds
18:25:32: Decomposing poses, time elapse: 415.338seconds
18:25:33: Calculating kernel matrix, time elapse: 0.744seconds
18:28:08: Decomposing movements and ethograms, time elapse: 155.064seconds
18:28:22: Decomposing completed, time elapse: 584.724seconds
16:52:50: Decomposing poses, time elapse: 376.886seconds
16:52:51: Calculating kernel matrix, time elapse: 0.582seconds
16:55:20: Decomposing movements and ethograms, time elapse: 149.087seconds
16:55:35: Decomposing completed, time elapse: 541.784seconds
17:02:00: Decomposing poses, time elapse: 359.376seconds
17:02:00: Calculating kernel matrix, time elapse: 0.461seconds
17:04:00: Decomposing movements and ethograms, time elapse: 120.285seconds
17:04:12: Decomposing completed, time elapse: 492.279seconds
17:10:41: Decomposing poses, time elapse: 367.388seconds
17:10:41: Calculating kernel matrix, time elapse: 0.493seconds
